Top of The Market Rating,Zacks (1-5),Wall Street Journal Rating (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
73.96,2,2,5,VIAV,Viavi Solutions Inc.,-3.51,Buy
73.96,3,2,8,VIPS,Vipshop Holdings Limited,41.46,Buy
73.95,3,2,4,AMSF,"AMERISAFE, Inc.",14.74,Buy
73.95,3,2,3,CELG,Celgene Corporation,8.1,Buy
73.95,2,2,6,BYD,Boyd Gaming Corporation,3.09,Buy
73.93,3,2,4,CSGS,"CSG Systems International, Inc.",14.66,Buy
73.91,3,2,5,AIMC,Altra Industrial Motion Corp.,21.21,Buy
73.91,2,2,6,OLLI,"Ollie&#39;s Bargain Outlet Holdings, Inc.",2.86,Buy
73.9,3,1,17,TLND,Talend S.A.,-4.39,Buy
73.89,3,2,17,REVG,"REV Group, Inc.",20.55,Buy
73.85,3,2,5,IRDM,Iridium Communications Inc,20.93,Buy
73.81,3,2,3,LTXB,"LegacyTexas Financial Group, Inc.",7.39,Buy
73.81,3,2,3,BLK,"BlackRock, Inc.",7.4,Buy
73.79,3,2,5,BKU,"BankUnited, Inc.",20.63,Buy
73.77,3,2,3,WGO,"Winnebago Industries, Inc.",7.19,Buy
73.76,3,1,9,CNQ,Canadian Natural Resources Limited,22.12,Buy
73.75,3,2,5,AEM,Agnico Eagle Mines Limited,20.42,Buy
73.74,3,2,2,EXLS,"ExlService Holdings, Inc.",0.38,Buy
73.74,3,1,5,MPWR,"Monolithic Power Systems, Inc.",-4.63,Buy
73.74,2,2,7,CX,Cemex S.A.B. de C.V.,8.7,Buy
73.71,3,2,6,PAAS,Pan American Silver Corp.,26.89,Buy
73.7,4,1,17,BYSI,"BeyondSpring, Inc.",19.82,Buy
73.7,3,2,8,MRC,MRC Global Inc.,40.19,Buy
73.69,3,2,3,DLB,Dolby Laboratories,6.76,Buy
73.67,3,1,11,FGEN,"FibroGen, Inc",35.02,Buy
73.67,3,1,7,OSIS,"OSI Systems, Inc.",8.35,Buy
73.64,3,1,7,IAC,IAC/InterActiveCorp,8.2,Buy
73.62,3,2,5,MEI,"Methode Electronics, Inc.",19.75,Buy
73.62,3,2,2,ROP,"Roper Technologies, Inc.",-0.22,Buy
73.6,3,2,5,BAH,Booz Allen Hamilton Holding Corporation,19.68,Buy
73.54,3,2,5,TAP,Molson Coors Brewing  Company,19.37,Buy
73.54,3,2,5,SPG,"Simon Property Group, Inc.",19.35,Buy
73.5,3,2,4,TEP,"Tallgrass Energy Partners, LP",12.49,Buy
73.49,3,2,5,DFS,Discover Financial Services,19.14,Buy
73.44,3,2,5,BECN,"Beacon Roofing Supply, Inc.",18.87,Buy
73.43,3,2,5,BANC,"Banc of California, Inc.",18.81,Buy
73.42,3,2,3,IR,Ingersoll-Rand plc (Ireland),5.44,Buy
