WOC Score,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
82.47,LBTYK,Liberty Global plc,6,1,2,1,8,LBTYK,Liberty Global plc,16.49,Buy
82.4,RMBS,"Rambus, Inc.",2,2,1,1,7,RMBS,"Rambus, Inc.",16.81,Buy
82.23,MNR,Monmouth Real Estate Investment Corporation,1,3,1,6,3,MNR,Monmouth Real Estate Investment Corporation,6.73,Buy
82.23,SKM,"SK Telecom Co., Ltd.",1.5,1,2,6,5,SKM,"SK Telecom Co., Ltd.",7.52,Buy
82.21,AVXS,"AveXis, Inc.",1.4,3,1,1,17,AVXS,"AveXis, Inc.",3.26,Buy
82.17,EGBN,"Eagle Bancorp, Inc.",2,2,2,1,2,EGBN,"Eagle Bancorp, Inc.",6.88,Buy
82.17,STL,Sterling Bancorp,2.5,2,1,6,4,STL,Sterling Bancorp,25.55,Buy
82.16,CTRP,"Ctrip.com International, Ltd.",1.7,1,1,2,7,CTRP,"Ctrip.com International, Ltd.",7.6,Buy
82.12,VGR,Vector Group Ltd.,1,3,1,6,7,VGR,Vector Group Ltd.,32.74,Buy
82.06,DY,"Dycom Industries, Inc.",1.6,3,1,6,4,DY,"Dycom Industries, Inc.",27.35,Buy
82.06,UNH,UnitedHealth Group Incorporated,1.7,3,1,6,1,UNH,UnitedHealth Group Incorporated,9.86,Buy
81.94,GWB,"Great Western Bancorp, Inc.",1.8,3,1,6,3,GWB,"Great Western Bancorp, Inc.",24.97,Buy
81.92,SEIC,SEI Investments Company,2,2,2,1,2,SEIC,SEI Investments Company,5.09,Buy
81.92,BDC,Belden Inc,2,1,2,6,5,BDC,Belden Inc,18.2,Buy
81.88,RYAAY,Ryanair Holdings plc,2,1,2,1.8,2,RYAAY,Ryanair Holdings plc,-0.14,Buy
81.87,FN,Fabrinet,1.7,3,1,6,3,FN,Fabrinet,22.06,Buy
81.8,MTN,"Vail Resorts, Inc.",1.7,3,1,6,1,MTN,"Vail Resorts, Inc.",8.29,Buy
81.76,KW,Kennedy-Wilson Holdings Inc.,2,1,2,6,9,KW,Kennedy-Wilson Holdings Inc.,43.92,Buy
81.74,FDX,FedEx Corporation,1.9,3,1,6,1,FDX,FedEx Corporation,12.96,Buy
81.73,AMAT,"Applied Materials, Inc.",1.9,2,2,1.9,1,AMAT,"Applied Materials, Inc.",17.13,Buy
81.69,BURL,"Burlington Stores, Inc.",1.9,2,1,6,7,BURL,"Burlington Stores, Inc.",27.65,Buy
81.68,PEGA,Pegasystems Inc.,2,3,1,1,2,PEGA,Pegasystems Inc.,3.45,Buy
81.67,ENTG,"Entegris, Inc.",2.1,1,2,2,2,ENTG,"Entegris, Inc.",5.86,Buy
81.65,GVA,Granite Construction Incorporated,1.7,3,1,6,5,GVA,Granite Construction Incorporated,34.05,Buy
81.64,CAL,"Caleres, Inc.",1,2,2,6,6,CAL,"Caleres, Inc.",23.19,Buy
81.6,LBTYB,Liberty Global plc,6,1,2,1,8,LBTYB,Liberty Global plc,11.27,Buy
81.56,CP,Canadian Pacific Railway Limited,1.9,1,2,6,5,CP,Canadian Pacific Railway Limited,13.52,Buy
81.5,HD,"Home Depot, Inc. (The)",1.9,2,2,6,2,HD,"Home Depot, Inc. (The)",18.18,Buy
81.44,EGHT,8x8 Inc,2,2,2,1,8,EGHT,8x8 Inc,41.73,Buy
81.39,GT,The Goodyear Tire & Rubber Company,1.6,4,1,1,3,GT,The Goodyear Tire & Rubber Company,23.04,Buy
81.38,PKX,POSCO,2,1,2,6,5,PKX,POSCO,14.93,Buy
81.36,FOX,"Twenty-First Century Fox, Inc.",2,1,2,1.6,7,FOX,"Twenty-First Century Fox, Inc.",24.52,Buy
81.23,TTD,"The Trade Desk, Inc.",1.7,3,1,1,17,TTD,"The Trade Desk, Inc.",4.85,Buy
81.11,NCSM,"NCS Multistage Holdings, Inc.",1.8,4,1,1,17,NCSM,"NCS Multistage Holdings, Inc.",31.64,Buy
81.11,NXTM,"NxStage Medical, Inc.",1.4,3,1,1,9,NXTM,"NxStage Medical, Inc.",31.08,Buy
81.08,IBA,"Industrias Bachoco, S.A. de C.V.",2,1,2,6,3,IBA,"Industrias Bachoco, S.A. de C.V.",-0.18,Buy
81.04,EME,"EMCOR Group, Inc.",2,2,2,6,1,EME,"EMCOR Group, Inc.",11.23,Buy
81.01,NWL,Newell Brands Inc.,1.9,3,1,6,2,NWL,Newell Brands Inc.,15.23,Buy
81,IPAR,"Inter Parfums, Inc.",1.9,2,2,1.5,2,IPAR,"Inter Parfums, Inc.",8.67,Buy
80.92,WIX,Wix.com Ltd.,2.1,2,2,1.8,17,WIX,Wix.com Ltd.,33.02,Buy
80.9,ALSN,"Allison Transmission Holdings, Inc.",2.3,1,2,6,5,ALSN,"Allison Transmission Holdings, Inc.",19.55,Buy
80.89,BOFI,"BofI Holding, Inc.",1.3,4,1,1,5,BOFI,"BofI Holding, Inc.",25.42,Buy
80.87,TI,Telecom Italia S.P.A.,1,1,2,6,9,TI,Telecom Italia S.P.A.,13.55,Buy
80.85,FGEN,"FibroGen, Inc",1.3,3,1,1,11,FGEN,"FibroGen, Inc",40.15,Buy
80.85,RHT,"Red Hat, Inc.",2.1,1,2,6,4,RHT,"Red Hat, Inc.",7.6,Buy
80.83,SNE,Sony Corp Ord,1,3,1,6,4,SNE,Sony Corp Ord,4.98,Buy
80.79,MSCC,Microsemi Corporation,1.9,3,1,1.7,3,MSCC,Microsemi Corporation,18.84,Buy
80.79,LYV,"Live Nation Entertainment, Inc.",1.8,1,1,6,8,LYV,"Live Nation Entertainment, Inc.",1.39,Buy
80.78,SSNC,"SS&C Technologies Holdings, Inc.",1.9,3,1,1.5,2,SSNC,"SS&C Technologies Holdings, Inc.",7.12,Buy
80.77,LOXO,"Loxo Oncology, Inc.",1.6,3,1,1,17,LOXO,"Loxo Oncology, Inc.",-0.4,Buy
80.71,HTHT,"China Lodging Group, Limited",2.2,1,2,1,5,HTHT,"China Lodging Group, Limited",-3.33,Buy
80.7,LOGI,Logitech International S.A.,2.3,2,2,1,2,LOGI,Logitech International S.A.,4.07,Buy
