Rating,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Projected Change % in 12 Months,CNN Recommendation
82.49,BLDR,"Builders FirstSource, Inc.",1.80,3,1,1.0,7,34.95,1
82.49,GDOT,Green Dot Corporation,2.10,1,2,6,3,0.79,1
82.48,HAWK,"Blackhawk Network Holdings, Inc.",1.90,2,1,1.0,8,16.55,1
82.46,ALGN,"Align Technology, Inc.",1.40,3,1,1.0,3,8.09,1
82.43,VAC,Marriot Vacations Worldwide Corporation,2.20,1,2,6,4,7.17,1
82.42,CZR,Caesars Entertainment Corporation,1.50,2,1,1.0,11,36.16,1
82.4,PLCE,"Children&#39;s Place, Inc. (The)",2.10,1,2,3.0,3,32.74,1
82.38,BPY,Brookfield Property Partners L.P.,1.80,1,1,6,8,8.58,1
82.35,FB,"Facebook, Inc.",1.70,3,1,1.5999999999999996,2,15.75,1
82.35,OSUR,"OraSure Technologies, Inc.",1.40,2,1,1.0,6,2.44,1
82.3,HTHT,"China Lodging Group, Limited",2.20,1,2,1.0,3,-17.85,1
82.25,HCM,Hutchison China MediTech Limited,1.30,3,1,1.0,17,11.25,1
82.2,OLED,Universal Display Corporation,2.10,1,2,2.5,4,25.7,1
82.18,IOSP,Innospec Inc.,1.70,2,2,6,5,37.57,1
82.17,TMO,Thermo Fisher Scientific Inc,1.50,3,1,6,1,10.85,1
82.14,ALK,"Alaska Air Group, Inc.",1.80,3,1,6,5,37.35,1
82.13,PZZA,"Papa John&#39;s International, Inc.",2.00,2,2,1.0,5,19.43,1
82.11,LOGM,"LogMein, Inc.",2.10,2,1,2.0,5,19.31,1
82.05,WDC,Western Digital Corporation,1.90,3,1,1.4000000000000004,6,35.64,1
82.05,BLD,TopBuild Corp.,2.30,1,2,6,6,18.59,1
82.04,SWKS,"Skyworks Solutions, Inc.",2.10,2,2,1.2999999999999998,3,13.05,1
82.0,MATX,"Matson, Inc.",2.30,2,2,6,7,57.68,1
81.97,DAL,"Delta Air Lines, Inc.",2.00,3,1,6,6,43.17,1
81.95,LVNTB,Liberty Interactive Corporation,6,1,6,1.0,8,6.42,1
81.94,AAWW,Atlas Air Worldwide Holdings,2.20,2,2,1.0,4,11.64,1
81.91,G,Genpact Limited,2.50,2,2,6,1,9.54,1
81.89,CBM,Cambrex Corporation,1.50,3,1,6,4,29.47,1
81.83,CVGW,"Calavo Growers, Inc.",1.50,4,1,1.0,1,15.96,1
81.83,BWXT,"BWX Technologies, Inc.",1.90,2,1,6,5,10.82,1
81.8,CENT,Central Garden & Pet Company,2.20,1,2,2.0,5,17.48,1
81.74,MBI,"MBIA, Inc.",2.30,1,2,6,10,43.71,1
81.73,MTG,MGIC Investment Corporation,1.70,2,1,6,5,10.31,1
81.73,UNH,UnitedHealth Group Incorporated,1.70,3,1,6,1,8.66,1
81.67,OPK,"Opko Health, Inc.",1.80,3,1,1.0,10,96.56,1
81.67,PCRX,"Pacira Pharmaceuticals, Inc.",1.90,3,1,1.0,10,55.9,1
81.67,RRC,Range Resources Corporation,2.00,1,2,6,11,66.12,1
81.65,VOD,Vodafone Group Plc,1.30,1,2,2.2,17,13.24,1
81.62,IX,Orix Corp Ads,1.00,2,1,2.5,5,28.9,1
81.34,TIG,TiGenix,2.00,3,1,1.0,17,6.72,1
81.33,WRK,Westrock Company,1.90,3,1,6,3,19.96,1
81.3,OTEX,Open Text Corporation,2.10,3,1,1.4000000000000004,5,24.46,1
81.29,KLIC,"Kulicke and Soffa Industries, Inc.",2.00,3,2,1.0,5,39.38,1
81.26,TWNK,"Hostess Brands, Inc.",1.70,4,1,1.7000000000000002,17,48.81,1
81.25,IMPV,"Imperva, Inc.",2.20,1,2,1.7999999999999998,8,29.18,1
81.16,LOXO,"Loxo Oncology, Inc.",1.60,3,1,1.0,17,5.78,1
81.15,USCR,"U S Concrete, Inc.",1.30,2,1,2.0,6,20.21,1
81.12,EGBN,"Eagle Bancorp, Inc.",2.00,2,2,1.0,4,6.71,1
81.12,EME,"EMCOR Group, Inc.",2.00,2,2,6,3,18.93,1
81.11,SHPG,Shire plc,1.80,3,1,1.4000000000000004,9,53.86,1
81.11,CAL,"Caleres, Inc.",1.90,2,2,6,6,38.89,1
81.1,ARRS,ARRIS International plc,1.80,3,1,1.0,7,26.61,1
81.07,AVY,Avery Dennison Corporation,2.00,2,2,6,1,5.35,1
81.06,TEL,TE Connectivity Ltd.,2.20,2,2,6,2,11.95,1
81.05,EPAM,"EPAM Systems, Inc.",1.80,3,1,6,3,18.56,1
81.02,CDEV,"Centennial Resource Development, Inc.",1.00,4,1,1.0,17,30.1,1
81.01,PPBI,Pacific Premier Bancorp Inc,1.90,3,2,1.0,2,17.73,1
80.99,SFNC,Simmons First National Corporation,2.40,2,2,6,3,18.27,1
80.97,PLYA,Playa Hotels & Resorts N.V.,2.30,3,2,1.0,17,29.86,1
80.95,FRME,First Merchants Corporation,2.20,2,2,2.0,2,17.38,1
80.94,SNP,China Petroleum & Chemical Corporation,1.00,3,1,6,5,31.38,1
80.93,GIB,"CGI Group, Inc.",2.40,2,2,6,3,17.99,1
80.89,ELP,Companhia Paranaense de Energia (COPEL),3.00,1,2,6,8,26.11,1
80.87,ON,ON Semiconductor Corporation,2.00,3,2,1.0,2,16.89,1
80.8,PFS,"Provident Financial Services, Inc",2.50,2,2,6,3,17.31,1
80.75,B,"Barnes Group, Inc.",2.30,2,2,6,1,3.76,1
80.72,EL,"Estee Lauder Companies, Inc. (The)",1.90,1,2,6,4,-1.38,1
80.71,SAIA,"Saia, Inc.",2.50,1,2,2.0,5,10.9,1
80.71,CM,Canadian Imperial Bank of Commerce,2.80,1,2,6,8,25.2,1
80.68,FLT,"FleetCor Technologies, Inc.",1.60,3,1,6,5,30.06,1
80.67,PXD,Pioneer Natural Resources Company,1.80,3,1,6,8,51.04,1
80.67,SLCA,"U.S. Silica Holdings, Inc.",1.80,3,1,6,8,52.85,1
80.67,VIPS,Vipshop Holdings Limited,2.20,2,2,6,8,75.1,1
80.66,CNS,Cohen & Steers Inc,2.50,1,2,6,5,4.99,1
80.61,MTN,"Vail Resorts, Inc.",1.70,3,1,6,1,3.03,1
80.6,STZ,Constellation Brands Inc,2.10,2,2,6,2,9.67,1
80.6,MIC,Macquarie Infrastructure Company,1.90,3,1,6,5,29.67,1
80.6,TSS,"Total System Services, Inc.",2.20,2,2,6,1,2.99,1
80.56,FGEN,"FibroGen, Inc",1.30,3,1,1.0,11,83.37,1
80.55,SNPS,"Synopsys, Inc.",1.90,2,2,1.7000000000000002,2,7.47,1
80.5,OSIS,"OSI Systems, Inc.",1.70,3,1,1.0,5,9.68,1
80.42,PATK,"Patrick Industries, Inc.",1.70,2,2,6,4,22.11,1
80.41,LBTYK,Liberty Global plc,6,1,2,1.5,8,16.64,1
80.41,AM,Antero Midstream Partners LP,1.50,3,1,6,5,28.73,1
80.38,PEGA,Pegasystems Inc.,2.00,3,1,1.0,6,15.6,1
80.33,COO,"Cooper Companies, Inc. (The)",1.90,2,2,6,1,1.64,1
80.32,OEC,Orion Engineered Carbons S.A,2.40,1,2,6,6,9.94,1
80.3,TI,Telecom Italia S.P.A.,1.00,1,2,6,8,23.18,1
80.29,SLM,SLM Corporation,1.70,4,1,1.0,6,40.1,1
80.29,MPC,Marathon Petroleum Corporation,1.60,3,1,6,5,28.1,1
80.25,STBZ,State Bank Financial Corporation.,2.40,1,2,1.0,2,13.16,2
80.25,VNOM,Viper Energy Partners LP,1.70,3,1,6,6,34.56,1
80.22,VRNS,"Varonis Systems, Inc.",1.90,2,1,1.0,10,16.3,1
80.18,MC,Moelis & Company,2.20,2,2,6,3,14.21,1
80.13,ORCL,Oracle Corporation,2.10,2,2,6,3,13.98,1
80.07,ROCK,"Gibraltar Industries, Inc.",2.00,4,1,1.0,7,45.42,1
80.07,CC,Chemours Company (The),1.80,1,2,6,7,15.35,1
80.06,WCN,"Waste Connections, Inc.",1.90,3,1,6,3,13.62,1
80.05,PEP,"Pepsico, Inc.",2.20,2,2,6,2,6.9,1
80.04,UCBI,"United Community Banks, Inc.",2.10,3,2,1.0,3,18.59,1
80.0,RDUS,"Radius Health, Inc.",2.30,3,2,2.0,17,67.13,1
80.0,SGYP,"Synergy Pharmaceuticals, Inc.",2.00,4,2,1.0,17,267.28,1
79.95,DOW,Dow Chemical Company (The),1.90,3,1,6,3,13.07,1
79.88,MB,"MINDBODY, Inc.",2.20,3,1,1.0,10,39.25,1
79.84,CI,Cigna Corporation,1.80,3,1,6,2,5.85,1
79.82,NTNX,"Nutanix, Inc.",2.10,3,2,1.0,17,24.08,1
79.78,XPO,"XPO Logistics, Inc.",1.80,3,1,6,5,25.59,1
79.75,RDN,Radian Group Inc.,1.80,3,1,6,5,25.43,1
79.74,TER,"Teradyne, Inc.",2.10,2,2,6,3,12.02,1
79.7,EGL,"Engility Holdings, Inc.",3.00,1,2,6,8,20.18,1
79.67,CHFC,Chemical Financial Corporation,1.90,3,1,2.3,3,23.84,1
79.67,COUP,Coupa Software Incorporated,2.20,3,2,1.0,17,23.33,1
79.67,IBTX,"Independent Bank Group, Inc",2.00,4,1,1.0,4,23.01,1
79.67,AER,Aercap Holdings N.V.,1.90,2,2,6,5,25.03,1
79.66,CRUS,"Cirrus Logic, Inc.",2.10,3,2,2.0,2,34.62,1
79.66,NVDA,NVIDIA Corporation,2.40,1,2,2.0,4,-2.07,1
79.61,BGG,Briggs & Stratton Corporation,2.00,3,2,6,4,43.07,1
79.56,LOGI,Logitech International S.A.,2.30,3,2,1.0,3,15.71,1
79.52,RSPP,"RSP Permian, Inc.",1.70,3,1,6,8,44.29,1
79.51,MPLX,MPLX LP,1.70,3,1,6,6,30.87,1
79.47,NUVA,"NuVasive, Inc.",2.00,3,2,1.0,5,28.47,1
79.46,ACCO,Acco Brands Corporation,2.00,3,2,6,5,48.98,1
79.46,FBP,First BanCorp.,2.50,2,2,6,6,30.63,1
79.44,SRPT,"Sarepta Therapeutics, Inc.",1.70,3,1,1.0,12,78.62,1
79.4,AIMC,Altra Industrial Motion Corp.,2.20,2,2,6,4,16.99,1
79.33,GLNG,Golar LNG Limited,1.50,3,6,1.0,9,67.13,1
79.33,EVH,"Evolent Health, Inc",1.40,3,1,6,9,71.18,1
79.33,MNK,Mallinckrodt plc,1.70,3,1,6,9,75.63,1
79.26,HCSG,"Healthcare Services Group, Inc.",2.00,2,2,1.0,5,2.2,1
79.24,CPE,Callon Petroleum Company,1.80,3,1,6,8,42.86,1
79.16,AVGO,Broadcom Limited,1.70,3,1,1.2999999999999998,5,9.15,1
79.16,BIG,"Big Lots, Inc.",2.10,2,2,6,4,15.79,1
79.16,TSN,"Tyson Foods, Inc.",2.30,2,2,6,4,15.79,1
79.15,CLVS,"Clovis Oncology, Inc.",2.10,3,2,2.0,17,45.75,1
79.09,AET,Aetna Inc.,2.30,2,2,6,3,8.77,1
79.08,MDLZ,"Mondelez International, Inc.",2.00,3,1,1.5999999999999996,5,16.12,1
79.08,BERY,"Berry Global Group, Inc.",1.80,3,1,6,4,15.4,1
79.07,BAK,Braskem S.A.,2.00,1,2,6,8,17.0,1
79.07,EQM,"EQT Midstream Partners, LP",1.80,3,1,6,6,28.67,1
79.02,BRKL,"Brookline Bancorp, Inc.",2.20,1,2,1.0,3,12.48,2
79.0,MGA,"Magna International, Inc.",2.40,2,2,6,4,14.98,1
78.96,FSS,Federal Signal Corporation,2.00,3,1,6,4,14.79,1
78.95,MSFT,Microsoft Corporation,2.00,3,2,1.2999999999999998,2,12.84,1
78.92,CALD,"Callidus Software, Inc.",1.70,3,1,1.0,8,20.21,1
78.89,UFPI,"Universal Forest Products, Inc.",1.00,5,1,1.0,5,51.67,1
78.86,CME,CME Group Inc.,2.10,3,2,1.2999999999999998,1,5.63,1
78.85,MGM,MGM Resorts International,1.80,3,1,6,5,20.94,1
78.83,NEE,"NextEra Energy, Inc.",1.90,3,1,6,2,0.84,1
78.8,WSFS,WSFS Financial Corporation,1.70,3,2,1.0,4,17.78,1
78.76,CSCO,"Cisco Systems, Inc.",2.10,3,2,1.2000000000000002,3,15.9,1
78.76,LBTYB,Liberty Global plc,6,1,2,1.5,8,6.74,1
78.74,OLLI,"Ollie&#39;s Bargain Outlet Holdings, Inc.",2.00,2,2,1.0,6,5.8,1
78.69,OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,2.60,1,2,3.0,3,10.5,1
78.67,EPD,Enterprise Products Partners L.P.,1.60,3,1,6,6,26.7,1
78.66,SINA,Sina Corporation,1.70,3,1,2.0,5,23.61,1
78.64,RCL,Royal Caribbean Cruises Ltd.,1.70,3,1,6,3,6.53,1
78.57,NWS,News Corporation,6,1,2,2.0,8,18.08,1
78.57,MTOR,"Meritor, Inc.",2.60,1,2,6,7,7.87,1
