Top of The Market Rating,Yahoo (1-5)Zacks (1-5),Wall Street Journal Rating (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
81.36,1.9,2,2,1,AMAT,"Applied Materials, Inc.",10.64,Buy
81.36,1.7,1,1,5,TVTY,"Tivity Health, Inc.",0.96,
81.36,1.9,2,1,7,BURL,"Burlington Stores, Inc.",25.66,Buy
81.35,2.0,1,2,9,KW,Kennedy-Wilson Holdings Inc.,41.46,Buy
81.32,2.3,1,2,2,LOGI,Logitech International S.A.,2.11,Buy
81.28,1.8,3,1,2,CMCSA,Comcast Corporation,14.36,Buy
81.26,2.0,1,2,5,BDC,Belden Inc,14.2,Buy
81.26,1.8,2,2,2,INN,"Summit Hotel Properties, Inc.",14.22,Buy
81.25,1.9,3,1,1,FDX,FedEx Corporation,10.0,Buy
81.22,2.3,1,2,5,ALSN,"Allison Transmission Holdings, Inc.",21.49,Buy
81.17,1.9,1,1,8,HAWK,"Blackhawk Network Holdings, Inc.",6.19,Buy
81.17,2.3,3,1,3,SIMO,Silicon Motion Technology Corporation,32.83,Buy
81.15,1.8,1,1,8,LYV,"Live Nation Entertainment, Inc.",3.54,Buy
81.12,2.1,1,2,3,CNC,Centene Corporation,2.53,Buy
81.11,1.6,2,1,12,AMRN,Amarin Corporation plc,70.73,Buy
81.06,1.7,3,1,17,NBLX,Noble Midstream Partners LP,22.79,Buy
81.05,1.3,3,1,17,HCM,Hutchison China MediTech Limited,12.77,Buy
81.05,1.7,3,1,5,GVA,Granite Construction Incorporated,30.44,Buy
81.03,1.8,3,1,3,OCLR,"Oclaro, Inc.",19.52,Buy
80.92,2.4,1,2,2,GIB,"CGI Group, Inc.",2.16,Buy
80.91,1.6,3,1,17,GCP,GCP Applied Technologies Inc.,19.55,Buy
80.9,1.0,3,1,4,SNE,Sony Corp Ord,5.41,Buy
80.88,1.0,2,2,7,CAL,"Caleres, Inc.",25.28,Buy
80.88,1.8,3,1,3,GWB,"Great Western Bancorp, Inc.",18.63,Buy
80.85,1.9,3,1,17,PSDO,"Presidio, Inc.",26.76,Buy
80.83,1.9,1,2,5,CP,Canadian Pacific Railway Limited,9.14,Buy
80.82,1.5,2,2,2,AMWD,American Woodmark Corporation,4.08,Buy
80.77,1.7,3,1,2,ORBK,Orbotech Ltd.,8.78,Buy
80.77,1.0,1,2,9,TI,Telecom Italia S.P.A.,12.98,Buy
80.71,1.8,3,1,17,WOW,"WideOpenWest, Inc.",23.53,Buy
80.62,1.8,1,1,9,BPY,Brookfield Property Partners L.P.,7.04,Buy
80.6,2.0,1,2,3,HCSG,"Healthcare Services Group, Inc.",-3.08,Buy
80.57,1.6,3,1,3,GT,The Goodyear Tire & Rubber Company,11.76,Buy
80.56,2.0,1,2,6,SKYW,"SkyWest, Inc.",16.71,Buy
80.56,2.0,1,2,11,RRC,Range Resources Corporation,64.68,Buy
80.56,1.8,3,1,8,SLCA,"U.S. Silica Holdings, Inc.",93.12,Buy
80.53,1.8,2,1,17,TRTN,Triton International Limited,-2.34,Buy
80.52,1.0,2,2,17,PUK,Prudential Public Limited Company,2.62,Buy
80.5,1.9,3,2,17,XOG,"Extraction Oil & Gas, Inc.",90.56,Buy
80.46,2.1,1,2,4,RHT,"Red Hat, Inc.",5.29,Buy
80.43,2.0,1,2,10,MBI,"MBIA, Inc.",42.58,Buy
80.38,2.0,1,2,3,IBA,"Industrias Bachoco, S.A. de C.V.",-4.37,Buy
80.35,2.0,2,2,2,IBKC,IBERIABANK Corporation,13.74,Buy
80.35,1.8,3,1,3,LHCG,LHC Group,15.41,Buy
80.3,1.8,2,1,5,EPAM,"EPAM Systems, Inc.",3.47,Buy
80.3,1.8,2,2,1,HON,Honeywell International Inc.,1.81,Buy
80.29,1.9,3,1,17,CJ,C,23.94,Buy
80.27,2.0,1,2,5,MNST,Monster Beverage Corporation,8.27,Buy
80.27,2.0,1,2,4,EL,"Estee Lauder Companies, Inc. (The)",1.6,Buy
80.25,2.3,1,2,5,KRNY,Kearny Financial,15.65,Buy
80.23,3.0,1,2,1,TLK,"PT Telekomunikasi Indonesia, Tbk",6.37,Buy
80.2,1.9,2,2,2,IPAR,"Inter Parfums, Inc.",10.38,Buy
80.19,1.7,2,1,7,MOMO,Momo Inc.,13.61,Buy
80.18,1.9,3,1,2,ASGN,"On Assignment, Inc.",10.23,Buy
80.13,1.6,3,1,5,SINA,Sina Corporation,22.43,Buy
80.1,1.8,3,1,3,SBUX,Starbucks Corporation,13.91,Buy
80.09,2.0,2,2,1,ICE,Intercontinental Exchange Inc.,5.52,Buy
80.09,2.0,1,2,5,PKX,POSCO,7.2,Buy
80.04,1.6,3,1,17,GTT,"GTT Communications, Inc.",15.2,Buy
80.02,1.9,3,1,3,CHFC,Chemical Financial Corporation,15.94,Buy
80.0,2.4,1,2,6,WES,"Western Gas Partners, LP",23.34,Buy
79.99,2.0,2,1,4,SPGI,S&P Global Inc.,-0.05,Buy
79.97,1.5,3,1,5,AM,Antero Midstream Partners LP,18.98,Buy
79.95,1.0,5,1,3,UFPI,"Universal Forest Products, Inc.",43.01,Buy
79.88,2.1,2,2,5,ROST,"Ross Stores, Inc.",33.43,Buy
